,PassengerId,Age,SibSp,Parch,Fare,Sex_dummy,Embarked_Q,Embarked_C,Mrs.,Master.,Miss.,Family survive rate,Survived,C1,C2,Is Family Survive
0,1,22.0,1,0,7.25,0,0,0,0,0,0,0.0,0,0,0,0
1,2,38.0,1,0,71.2833,1,1,0,1,0,0,0.0,1,1,0,0
2,3,26.0,0,0,7.925,1,0,0,0,0,1,0.0,1,0,0,0
3,4,35.0,1,0,53.1,1,0,0,1,0,0,0.0,1,1,0,0
4,5,35.0,0,0,8.05,0,0,0,0,0,0,1.0,0,0,0,1
5,6,32.59707018016173,0,0,8.4583,0,0,1,0,0,0,0.5,0,0,0,1
6,7,54.0,0,0,51.8625,0,0,0,0,0,0,0.0,0,1,0,0
7,8,2.0,3,1,21.075,0,0,0,0,1,0,0.0,0,0,0,0
8,9,27.0,0,2,11.1333,1,0,0,1,0,0,0.4,1,0,0,1
9,10,14.0,1,0,30.0708,1,1,0,1,0,0,0.0,1,0,1,0
10,11,4.0,1,1,16.7,1,0,0,0,0,1,1.0,1,0,0,1
11,12,58.0,0,0,26.55,1,0,0,0,0,1,0.0,1,1,0,0
12,13,20.0,0,0,8.05,0,0,0,0,0,0,0.0,0,0,0,0
13,14,39.0,1,5,31.275,0,0,0,0,0,0,0.25,0,0,0,1
14,15,14.0,0,0,7.8542,1,0,0,0,0,1,0.0,0,0,0,0
15,16,55.0,0,0,16.0,1,0,0,1,0,0,0.0,1,0,1,0
16,17,2.0,4,1,29.125,0,0,1,0,1,0,0.0,0,0,0,0
17,18,33.12031250633887,0,0,13.0,0,0,0,0,0,0,0.0,1,0,1,0
18,19,31.0,1,0,18.0,1,0,0,1,0,0,0.0,0,0,0,0
19,20,27.598128299129673,0,0,7.225,1,1,0,1,0,0,0.0,1,0,0,0
20,21,35.0,0,0,26.0,0,0,0,0,0,0,0.0,0,0,1,0
21,22,34.0,0,0,13.0,0,0,0,0,0,0,0.0,1,0,1,0
22,23,15.0,0,0,8.0292,1,0,1,0,0,1,0.0,1,0,0,0
23,24,28.0,0,0,35.5,0,0,0,0,0,0,0.0,1,1,0,0
24,25,8.0,3,1,21.075,1,0,0,0,0,1,0.0,0,0,0,0
25,26,38.0,1,5,31.3875,1,0,0,1,0,0,0.6666666666666666,1,0,0,1
26,27,25.71167672294393,0,0,7.225,0,1,0,0,0,0,0.0,0,0,0,0
27,28,19.0,3,2,263.0,0,0,0,0,0,0,0.6666666666666666,0,1,0,1
28,29,20.903397140479434,0,0,7.8792,1,0,1,0,0,1,0.0,1,0,0,0
29,30,27.099888796654987,0,0,7.8958,0,0,0,0,0,0,0.0,0,0,0,0
30,31,40.0,0,0,27.7208,0,1,0,0,0,0,0.0,0,1,0,0
31,32,40.39047069977006,1,0,146.5208,1,1,0,1,0,0,0.0,1,1,0,0
32,33,20.899618063614305,0,0,7.75,1,0,1,0,0,1,0.0,1,0,0,0
33,34,66.0,0,0,10.5,0,0,0,0,0,0,0.0,0,0,1,0
34,35,28.0,1,0,82.1708,0,1,0,0,0,0,0.5,0,1,0,1
35,36,42.0,1,0,52.0,0,0,0,0,0,0,1.0,0,1,0,1
36,37,25.711654061454983,0,0,7.2292,0,1,0,0,0,0,0.0,1,0,0,0
37,38,21.0,0,0,8.05,0,0,0,0,0,0,0.0,0,0,0,0
38,39,18.0,2,0,18.0,1,0,0,0,0,1,0.0,0,0,0,0
39,40,14.0,1,0,11.2417,1,1,0,0,0,1,1.0,1,0,0,1
40,41,40.0,1,0,9.475,1,0,0,1,0,0,0.0,0,0,0,0
41,42,27.0,1,0,21.0,1,0,0,1,0,0,0.0,0,0,1,0
42,43,25.70805735952555,0,0,7.8958,0,1,0,0,0,0,0.0,0,0,0,0
43,44,3.0,1,2,41.5792,1,1,0,0,0,1,0.5,1,0,1,1
44,45,19.0,0,0,7.8792,1,0,1,0,0,1,0.0,1,0,0,0
45,46,27.09905679629961,0,0,8.05,0,0,0,0,0,0,0.0,0,0,0,0
46,47,28.313118135491514,1,0,15.5,0,0,1,0,0,0,0.0,0,0,0,0
47,48,20.899618063614305,0,0,7.75,1,0,1,0,0,1,0.0,1,0,0,0
48,49,20.534036193580068,2,0,21.6792,0,1,0,0,0,0,0.0,0,0,0,0
49,50,18.0,1,0,17.8,1,0,0,1,0,0,0.0,0,0,0,0
50,51,7.0,4,1,39.6875,0,0,0,0,1,0,0.0,0,0,0,0
51,52,21.0,0,0,7.8,0,0,0,0,0,0,0.0,0,0,0,0
52,53,49.0,1,0,76.7292,1,1,0,1,0,0,0.6666666666666666,1,1,0,1
53,54,29.0,1,0,26.0,1,0,0,1,0,0,0.0,1,0,1,0
54,55,65.0,0,1,61.9792,0,1,0,0,0,0,0.0,0,1,0,0
55,56,39.04687556884206,0,0,35.5,0,0,0,0,0,0,0.0,1,1,0,0
